plateifu gini m20 C A S morph_flag
8263-1901 0.3767785364230541 -0.6729349537584903 1.8259408128383583 0.6320064113919828 0.13489055803343006 0.0
8263-3703 0.5249627377397931 -1.3164820871751657 2.3362521931034257 0.58262423928537 0.27011135950188214 0.0
8263-6101 0.36641932781951664 -0.5842073887669876 1.4469458218681717 0.5029056568439007 0.22009528781704188 0.0
8263-6102 0.5426856039654256 -1.115165437360486 2.098008354591254 0.6227102693438538 0.13793471134628776 0.0
8274-12703 0.5716271190483437 -0.7112737564536042 1.61245257745967 0.7571878872525226 0.46772240685728067 1.0
8274-6102 0.3295620388377258 -0.907417310359304 1.8512729566412989 0.38034926783414 0.1785258825504914 0.0
8312-12702 0.40306241933706716 -0.9085330337151772 1.4340275449145967 0.4585495134074035 0.21223817155505373 0.0
8312-12703 0.40857086483301386 -0.8620686315079956 1.6820513367058931 0.45853773863062447 0.14165288086967343 0.0
8312-12704 0.6200033418379555 -1.4784314415218076 3.2221886645375495 0.5488130409516341 0.42116007860080384 0.0
8312-6102 0.5256215271710377 -0.8851697807659975 2.2199632137446086 0.5264276973533277 0.2259292942258699 0.0
8312-6103 0.5840954002287013 -1.1030657207726362 2.1964368795849554 0.5757205829677664 0.40546276476138726 0.0
8313-12702 0.47352147959251933 -0.7725541216685397 1.514348655494477 0.7838582238177397 0.25991186313438935 0.0
8313-1902 0.4309602564961763 -1.3596059638290923 2.1569019618761427 0.26400538803207835 0.13105548325626623 0.0
8313-3703 0.5256317681442823 -1.7700202807444696 2.715206281068943 0.30926638552286334 0.15018009810343527 0.0
8313-6103 0.39107374358435365 -1.0865682872262985 1.7283349175377203 0.40120753287907823 0.09502744789153633 0.0
8313-9101 0.36390412570997605 -0.7750929970774807 1.2990503562445919 0.4650242574969697 0.20033905102192948 0.0
8313-9102 0.37920798795873517 -0.6235648465209167 1.0600018267841684 0.5323153456761779 0.25177020880223494 0.0
8315-12703 0.37799859284808496 -0.640510453323521 1.3691218567947852 0.504252409416539 0.2613410896039071 0.0
8315-12705 0.3743261208032076 -0.6200468023013604 1.8197233945017912 0.5977265177478933 0.25053447918229854 0.0
