plateifu D4000_slope D4000_mode
8604-9102 0.055357267698775615 -1
8606-12701 -0.36974864001776736 1
8606-12705 -0.04486852299996383 1
8606-3701 -0.43620470069002565 1
8611-12701 -0.09452770625225353 1
8611-12702 -0.05628213875465602 1
8611-3702 0.05374263552944331 -1
8611-6102 0.026674555734263996 -1
8612-12702 -0.2475358631145943 1
8612-9101 -0.008291931518859675 1
8612-9102 -0.013788149479036097 1
8613-12703 0.057333079892557405 -1
8613-1902 nan 0
8613-6101 -0.09997058506014751 1
8615-12705 -0.10864466013886302 1
8615-1901 -0.024093279493659893 1
8615-1902 0.034580204703074754 -1
8615-3701 0.12514381125307186 -1
8615-3703 0.14080977140063805 -1
8615-6102 -0.05669587733903297 1
8616-1901 -0.09240943384033448 1
8616-3703 -0.0895207615237563 1
8616-3704 0.08567997986687613 -1
8616-9101 -0.1921302229775037 1
8616-9102 -0.09346344089020067 1
8618-12702 -0.27358736596658434 1
8618-12704 -0.1745709027405816 1
8618-3704 0.07786392500403483 -1
8623-12701 nan 0
8623-9101 -0.023419262361445807 1
8626-12703 -0.14475015423583265 1
8626-12704 nan 0
8626-9101 -0.19821002508900867 1
8655-3701 0.18624170054850472 -1
8655-6101 -0.013329405131217229 1
8655-6102 -0.0615957623351904 1
8655-9102 -0.018615321144952193 1
8711-12703 -0.025681877100269174 1
8711-3701 0.11217896109959173 -1
8711-6103 -0.05486036106013578 1
8711-9102 0.01095675006001723 -1
8712-12702 -0.11849662405385222 1
8712-6101 -0.13656776266694995 1
8712-6102 -0.19023147185548508 1
8713-12701 -0.17382949847270066 1
8713-12702 -0.009672658060508328 1
8713-1902 -0.01172821367523893 1
8713-3704 -0.05346339610119849 1
8713-6102 -0.276585982734222 1
8713-6104 -0.2415930807826602 1
8713-9102 0.16293604031509706 -1
8714-12702 -0.0028349239350507136 1
8714-12703 -0.15829272419925647 1
8714-6104 0.15642580646479362 -1
8715-12704 -0.05167047862082585 1
8715-1902 -0.08880469856117007 1
8715-3702 0.14736828664029664 -1
8715-9101 -0.09939356501434517 1
8715-9102 -0.068452576864133 1
8716-12701 0.23685135262548032 -1
8716-12702 0.25554674460404037 -1
8716-12703 -0.0020868382140170195 1
8716-12705 -0.08033043971548576 1
8716-1901 0.07902101383030967 -1
8716-3701 -0.2171426335443283 1
8716-6101 0.037516142032207614 -1
8716-9102 -0.1463472108843134 1
8717-3703 0.03823142325406293 -1
8717-3704 -0.035547533015475814 1
8717-9101 -0.39725631373925496 1
8718-12703 -0.07084083955578709 1
8718-12704 0.0022088842753623214 -1
8718-3703 0.0432796405683971 -1
8718-6104 0.06997528694547273 -1
8718-9101 -0.013077622649589357 1
8719-3703 -0.02197914711282044 1
8719-6103 -0.3551122734393424 1
8719-6104 -0.002080800985196491 1
8720-1902 0.072687804605334 -1
8720-6102 -0.043257624318868926 1
8721-12705 -0.012982376497555242 1
8721-3701 -0.14633420022414076 1
8721-9101 -0.10857448740373768 1
8724-1902 -0.07669983508036539 1
8724-6103 -0.0561914298554503 1
8724-9101 0.0115928242353465 -1
8724-9102 -0.04511171708079162 1
8725-3701 -0.020040817486772344 1
8725-3703 0.008130766237234783 -1
8725-6102 0.0341714638969028 -1
8725-9102 0.08064879623811953 -1
8726-3703 0.08782983906687318 -1
8728-12704 -0.1372230536846578 1
8728-12705 -0.11145221455945553 1
8728-6104 -0.039437528944017815 1
8931-12701 -0.056403578831698664 1
8931-3701 -0.017591914964378102 1
8931-3703 0.030247801402534857 -1
8934-12701 -0.24362757458803763 1
8934-3701 0.12613053463123944 -1
8939-1902 0.0012860088648629215 -1
8939-3703 -0.019656691027761436 1
8939-3704 0.15894016582519727 -1
8942-12704 -0.17260356301684918 1
8942-12705 -0.1410866389333372 1
8942-1902 -0.03220103934522614 1
8942-3703 0.20457801756249855 -1
8942-6102 0.008916868690725735 -1
8942-9102 0.02465167808605019 -1
8943-12702 -0.07224645169197014 1
8943-12703 -0.13218372837389886 1
8945-12701 -0.14212250125505047 1
8945-3702 0.0361053665338736 -1
8945-9102 -0.10638529813066067 1
8946-6101 -0.04151605043994226 1
8946-9101 -0.06561453168592153 1
8947-12702 0.21649788674066192 -1
8947-12703 -0.45085126544314613 1
8947-12704 -0.3326656180177221 1
8947-6103 -0.14538232423538658 1
8947-9101 -0.054531317064190205 1
8947-9102 -0.3058041699964116 1
8948-12704 -0.006075096264823517 1
8948-6101 0.02999624569156041 -1
8948-9101 -0.043864323621497 1
8949-12701 0.19034330972551775 -1
8949-12703 -0.05159335678211491 1
8949-6101 0.018991597192944975 -1
8952-12705 -0.12938776350899417 1
8952-3703 -0.09198696649067627 1
8978-12702 -0.1702884757939919 1
8978-3701 0.04579557843401961 -1
8978-6101 -0.14710373639959723 1
8978-6104 -0.15001167591848688 1
8978-9101 -0.3512459152824241 1
8979-12701 -0.4680762408639315 1
8979-12703 -0.1231945309363883 1
8979-3704 -0.13055028268167662 1
8979-9101 -0.32872457631257296 1
8980-12701 -0.06521668374502339 1
8987-3701 0.02632187821691403 -1
9002-12704 -0.37371997846421673 1
9002-12705 -0.14207698376297362 1
9026-12703 -0.1749122622857888 1
9026-1902 0.010725179912222578 -1
9026-3701 0.03877846687622031 -1
9026-3703 -0.0020470765382673405 1
9026-6102 0.027921319982807218 -1
9029-1902 0.08342747746253117 -1
9029-6102 -0.0759774459730037 1
9041-3704 -0.27845885319474206 1
9041-6102 -0.0767674029548276 1
9041-6104 -0.1095962631526266 1
9041-9102 -0.055813875573672046 1
9042-12702 -0.15081410169296336 1
9042-6102 -0.07456560757179671 1
9042-9102 -0.3412609558895737 1
9049-12702 -0.2552511232696485 1
9049-1901 0.09943714105721231 -1
9049-3701 -0.29364919399913686 1
9049-3702 0.015030778931047307 -1
9049-3704 0.04770909161862533 -1
9049-9102 -0.03805566771324527 1
