plateifu weight_difference weight_ratio mode_flag bptclass
8147-6101 720.0 6.139186295503213 1.0 1.0
8147-6103 480.0 2.845444059976932 0.0 1.0
8147-9101 238.0 1.6245080031487797 0.0 1.0
8147-9102 810.0 9.517350157728707 1.0 1.0
8149-12702 886.0 16.51663747810858 1.0 3.0
8149-3703 -1000.0 9.999000099990002e-05 -1.0 1.0
8149-6101 658.0 4.845704266510813 1.0 1.0
8149-6103 100.0 1.2221728504776717 0.0 1.0
8149-9101 62.0 1.1321679812406735 0.0 1.0
8155-12703 906.0 20.235668789808916 1.0 2.0
8155-1902 -486.0 0.3459830440048446 0.0 1.0
8155-3701 608.0 4.100458949515554 1.0 1.0
8155-3703 -972.0 0.014298752662001825 -1.0 1.0
8155-6102 914.0 22.20649651972158 1.0 1.0
8155-6104 -192.0 0.6779063915450428 0.0 1.0
8156-12703 534.0 3.290862290862291 1.0 1.0
8156-3701 630.0 4.40356564019449 1.0 1.0
8156-3703 -554.0 0.28709303821901944 -1.0 1.0
8239-3702 626.0 4.345804382683057 1.0 1.0
8239-3704 -96.0 0.8248494800218938 0.0 1.0
8239-9101 872.0 14.603744149765992 1.0 2.0
8239-9102 748.0 6.931800158604283 1.0 2.0
8241-3703 762.0 7.3979848866498745 1.0 1.0
8241-3704 996.0 475.2857142857143 1.0 1.0
8241-6101 282.0 1.785296574770259 0.0 1.0
8243-9101 538.0 3.3279965382951104 1.0 1.0
8244-12702 734.0 6.5146506386175815 1.0 1.0
8244-3702 -102.0 0.8149156232988568 0.0 3.0
8244-6101 622.0 4.289264939185617 1.0 3.0
8244-9101 908.0 20.69631236442516 1.0 3.0
8247-12702 756.0 7.191646191646192 1.0 1.0
8247-12703 568.0 3.6284127718648778 1.0 1.0
8247-12704 838.0 11.332922318125771 1.0 1.0
8247-9101 844.0 11.806658130601793 1.0 1.0
8249-3703 86.0 1.1881426383723475 0.0 1.0
8249-6102 676.0 5.1702652683528685 1.0 1.0
8250-3703 -694.0 0.1807342698618817 -1.0 1.0
8250-3704 -122.0 0.7825699518802353 0.0 1.0
8252-1902 -72.0 0.8656966983771684 0.0 3.0
8252-6101 -430.0 0.3986854985316739 0.0 2.0
8252-6102 988.0 162.96721311475412 1.0 1.0
8252-9102 506.0 3.047753945770943 1.0 1.0
8253-3703 -86.0 0.8416497882526238 0.0 1.0
8254-12701 582.0 3.7833572453371596 1.0 2.0
8254-12703 556.0 3.5033768572714994 1.0 1.0
8254-12704 186.0 1.4568901989683125 0.0 1.0
8254-1901 -544.0 0.2954280533609636 -1.0 1.0
8254-1902 -990.0 0.0051251130539644255 -1.0 1.0
8254-6102 644.0 4.615946097697923 1.0 1.0
8254-9102 34.0 1.0703788035603394 0.0 2.0
8255-12702 914.0 22.20649651972158 1.0 1.0
8255-3701 -218.0 0.6420948941060581 0.0 1.0
8255-3702 580.0 3.760590195145169 1.0 1.0
8255-3703 -780.0 0.12369396697000336 -1.0 2.0
8256-12703 712.0 5.941013185287995 1.0 2.0
8256-6102 300.0 1.856898029134533 0.0 1.0
8257-3704 202.0 1.5061388123277373 0.0 1.0
8257-6102 102.0 1.2271209084836339 0.0 1.0
8258-1901 -838.0 0.08823849417908823 -1.0 3.0
8258-1902 980.0 98.02970297029704 1.0 3.0
8258-3701 708.0 5.84599589322382 1.0 1.0
8258-3702 330.0 1.9847806624888091 0.0 1.0
8258-6101 708.0 5.84599589322382 1.0 1.0
8259-1902 -46.0 0.912062703116039 0.0 1.0
8259-3702 264.0 1.7171964140179299 0.0 3.0
8259-3704 70.0 1.150505267684369 0.0 1.0
8259-6104 692.0 5.490590525632706 1.0 1.0
8259-9101 -198.0 0.6695042563845769 0.0 1.0
8261-1901 -336.0 0.4970812752581949 0.0 1.0
8261-6102 848.0 12.143232588699082 1.0 3.0
8262-12703 998.0 908.2727272727273 1.0 2.0
8262-3702 104.0 1.232091051104664 0.0 1.0
8262-3703 934.0 29.21752265861027 1.0 3.0
8262-6101 -410.0 0.4185221954332719 0.0 1.0
8262-9102 32.0 1.0661020450320182 0.0 1.0
8263-12704 -274.0 0.5699262282216293 0.0 1.0
8263-1901 554.0 3.483191393993725 1.0 1.0
8263-3703 410.0 2.389359539139275 0.0 1.0
8263-6101 702.0 5.7082494969818915 1.0 1.0
8263-6102 -402.0 0.42661531878476683 0.0 1.0
8312-12702 626.0 4.345804382683057 1.0 3.0
8312-12703 -62.0 0.8832611560911316 0.0 1.0
8312-12704 504.0 3.0314389359129383 1.0 1.0
8312-6102 642.0 4.584589614740369 1.0 3.0
8312-6103 -168.0 0.7123780174627632 0.0 2.0
8313-12702 6.0 1.012070006035003 0.0 1.0
8313-1902 -544.0 0.2954280533609636 -1.0 1.0
8313-3703 -758.0 0.13775452166988966 -1.0 1.0
8313-6103 -108.0 0.8050893340552246 0.0 1.0
8315-12705 214.0 1.5443907402696515 0.0 1.0
8315-6101 752.0 7.059629331184529 1.0 1.0
8315-9102 472.0 2.7872018174933735 0.0 3.0
8317-9102 764.0 7.46909398814564 1.0 2.0
8318-12704 890.0 17.1524500907441 1.0 2.0
8318-12705 766.0 7.5414175918018795 1.0 2.0
8318-6101 558.0 3.5237449118046134 1.0 1.0
8318-6104 802.0 9.092835519677095 1.0 1.0
8318-9101 556.0 3.5033768572714994 1.0 1.0
8319-3703 744.0 6.807962529274005 1.0 2.0
8319-9101 724.0 6.242577842143374 1.0 1.0
8320-6101 690.0 5.448742746615087 1.0 3.0
8320-6104 508.0 3.0642015440877692 1.0 1.0
8325-12701 960.0 48.76119402985074 1.0 2.0
8325-12705 608.0 4.100458949515554 1.0 2.0
8325-3704 780.0 8.084468664850137 1.0 3.0
8325-9102 924.0 25.251968503937007 1.0 1.0
8326-12702 798.0 8.893175074183977 1.0 2.0
8326-12703 874.0 14.851030110935024 1.0 1.0
8326-12705 752.0 7.059629331184529 1.0 1.0
8326-6102 -352.0 0.4793669575506582 0.0 3.0
8329-3702 -258.0 0.5898903195040535 0.0 1.0
8329-6103 354.0 2.095636025998143 0.0 3.0
8330-12701 902.0 19.370672097759673 1.0 1.0
8330-12702 980.0 98.02970297029704 1.0 3.0
8330-12703 782.0 8.167736021998168 1.0 1.0
8330-1902 -306.0 0.5314653192466697 0.0 1.0
8330-6102 332.0 1.9937144567494762 0.0 1.0
8332-12701 636.0 4.492586490939045 1.0 1.0
8332-3702 -598.0 0.25165811537980226 -1.0 1.0
8332-6103 152.0 1.3584060363121906 0.0 2.0
8332-9101 52.0 1.1096815017928707 0.0 2.0
8333-1902 630.0 4.40356564019449 1.0 1.0
8333-3701 798.0 8.893175074183977 1.0 2.0
8335-6101 286.0 1.800896107532904 0.0 1.0
8335-6102 786.0 8.338935574229692 1.0 1.0
8335-9102 756.0 7.191646191646192 1.0 1.0
8338-1901 -748.0 0.14426267017503716 -1.0 1.0
8338-3702 700.0 5.663557628247835 1.0 1.0
8338-6102 -156.0 0.7301504929942917 0.0 1.0
8338-6104 464.0 2.7306975009324876 0.0 1.0
8341-12703 84.0 1.183366077275704 0.0 1.0
8341-12704 930.0 27.495726495726494 1.0 1.0
8341-9101 494.0 2.951797708415646 0.0 1.0
8439-1901 -1000.0 9.999000099990002e-05 -1.0 1.0
8439-3703 390.0 2.2782694198623403 0.0 2.0
8439-6102 356.0 2.1052468177584602 0.0 3.0
8439-9102 132.0 1.304077401520387 0.0 1.0
8440-1901 -358.0 0.47283168900014727 0.0 1.0
8440-1902 -734.0 0.15350017299042784 -1.0 1.0
8440-3703 -30.0 0.94175888177053 0.0 1.0
8440-6104 -542.0 0.29710802749319154 -1.0 3.0
8447-12702 560.0 3.544298046342572 1.0 1.0
8447-1901 -394.0 0.4348013197532635 0.0 1.0
8447-3701 974.0 75.35114503816794 1.0 2.0
8447-3703 880.0 15.642262895174708 1.0 3.0
8447-3704 596.0 3.9490351311232064 1.0 3.0
8448-3703 912.0 21.680272108843536 1.0 1.0
8448-6101 -312.0 0.5244627343392776 0.0 1.0
8448-9101 294.0 1.832625318606627 0.0 1.0
8449-12701 180.0 1.4389173372348207 0.0 1.0
8449-3703 90.0 1.1977587343441003 0.0 1.0
8449-9102 770.0 7.689834926151174 1.0 1.0
8450-12701 796.0 8.796278158667974 1.0 2.0
8450-12702 854.0 12.682626538987689 1.0 1.0
8450-1901 -1000.0 9.999000099990002e-05 -1.0 1.0
8450-6102 536.0 3.309349418354158 1.0 1.0
8450-9101 -186.0 0.6863935255437532 0.0 1.0
8450-9102 534.0 3.290862290862291 1.0 3.0
8451-12703 458.0 2.689413500553301 0.0 1.0
8451-3701 924.0 25.251968503937007 1.0 1.0
8452-12701 878.0 15.36988543371522 1.0 1.0
8452-1902 938.0 31.160771704180064 1.0 1.0
8452-6104 666.0 4.985637342908438 1.0 2.0
8453-12704 780.0 8.084468664850137 1.0 1.0
8453-6102 630.0 4.40356564019449 1.0 1.0
8454-12702 232.0 1.6040093725592293 0.0 1.0
8454-6101 928.0 26.706371191135734 1.0 2.0
8454-6104 518.0 3.1484861053504773 1.0 3.0
8455-12701 786.0 8.338935574229692 1.0 1.0
8455-3701 424.0 2.4717112113849358 0.0 1.0
8455-3704 136.0 1.3147419578801203 0.0 1.0
8455-6101 564.0 3.5859697386519946 1.0 1.0
8455-9102 722.0 6.190510424155284 1.0 1.0
8456-3703 112.0 1.252195451474893 0.0 1.0
8456-9101 902.0 19.370672097759673 1.0 2.0
8456-9102 654.0 4.778162911611785 1.0 2.0
8458-12704 -332.0 0.5015763398889056 0.0 2.0
8458-6102 -550.0 0.2904141401109534 -1.0 1.0
8459-12702 798.0 8.893175074183977 1.0 1.0
8459-1901 -196.0 0.6722956027420164 0.0 1.0
8459-1902 -436.0 0.39284222253168083 0.0 1.0
8459-6102 718.0 6.088589652728562 1.0 1.0
8461-12702 82.0 1.1786103245480288 0.0 1.0
8461-9102 -478.0 0.3532674874847788 0.0 2.0
8462-3703 -544.0 0.2954280533609636 -1.0 1.0
8462-3704 692.0 5.490590525632706 1.0 1.0
8462-6101 486.0 2.8903150525087513 0.0 1.0
8462-6104 -730.0 0.15616691711940814 -1.0 1.0
8464-12704 920.0 23.942643391521198 1.0 1.0
8464-3701 470.0 2.772915880799698 0.0 1.0
8464-3704 434.0 2.5330271988696573 0.0 3.0
8464-6102 894.0 17.836158192090394 1.0 2.0
8464-9102 774.0 7.843501326259948 1.0 1.0
