SPECOBJID RA DEC bptclass lgm_tot lgsfr_tot plateifu
465121211769186304 49.7821578979 0.955980479717 1 9.76232624054 0.164906978607 8082-6103
465129732984301568 49.9468460083 0.623822033405 2 9.28159809113 -0.601575255394 8081-3702
465130832495929344 49.9293479919 0.565472900867 1 10.0623378754 0.273949682713 8083-12703
465134131030812672 49.9732589722 0.391463637352 1 9.58061027527 -0.588038146496 8083-3702
465148699559880704 50.1997680664 0.185578584671 2 9.62278556824 -1.97281813622 8083-3701
465161618821507072 50.7135391235 0.139627993107 1 9.19059753418 -1.06027662754 8084-9101
465165741990111232 50.8270797729 0.939862787724 1 9.62486839294 -0.249890595675 8083-3703
464999167790442496 50.5013923645 -0.80709284544 1 9.91916751862 -0.717136025429 8083-12701
465008513639278592 50.1888618469 -1.05397498608 2 10.0016012192 -1.34578800201 8082-3703
465011537296254976 50.1713676453 -1.17611050606 1 9.02247238159 -0.893808484077 8082-3701
465018958999742464 50.1606140137 -1.03506135941 2 9.95464992523 -0.731105804443 8082-1902
465020058511370240 49.8214263916 -0.9696393013 1 10.0347146988 0.585010051727 8081-3704
465020883145091072 50.1450767517 -1.09587395191 1 9.11973667145 -0.908928632736 8082-6101
465021158022998016 49.9737854004 -1.14587724209 1 9.85685348511 0.0449496656656 8081-6101
465037375819507712 50.0524711609 -0.540654122829 1 9.44456863403 -0.257255464792 8084-12701
465048370935785472 49.5115852356 -0.539021849632 1 10.3164644241 -0.0742723941803 8082-12703
465074484336945152 48.8964424133 -1.01627349854 3 10.4408578873 -0.175621911883 8082-12701
465080531650897920 48.4383811951 -0.241449251771 3 11.1025123596 -0.0975838974118 8082-12702
465109393831127040 49.4064369202 0.81519806385 1 9.48386859894 -0.357322573662 8081-12704
465116540656707584 49.1085472107 0.321614325047 1 8.92903614044 -0.897435963154 8082-3702
465122862848567296 49.7821578979 0.955980479717 1 9.76271915436 0.165934219956 8082-6103
465130834307868672 49.9468460083 0.623822033405 2 9.28114414215 -0.60207670927 8081-3702
465133033331124224 49.9732589722 0.391463637352 1 9.58076667786 -0.598670125008 8083-3702
465133308209031168 49.9293479919 0.565472900867 1 10.06254673 0.31625777483 8083-12703
465150625517168640 50.1997680664 0.185578584671 2 9.62179756165 -1.97362661362 8083-3701
465160246243911680 50.6967773438 0.149356886744 3 10.3759860992 -1.58389496803 8083-12704
465161345755539456 50.7135391235 0.139627993107 1 9.1899023056 -1.1390556097 8084-9101
465166293557864448 50.8270797729 0.939862787724 1 9.62530517578 -0.310843139887 8083-3703
466146232289486848 51.8783569336 -1.12772870064 1 9.78848934174 -0.307636618614 8084-9102
466161350574368768 51.6942443848 -0.648157715797 1 10.0190849304 -0.107531316578 8084-6101
466178393004599296 51.5812110901 -0.912661194801 1 9.41507339478 -0.497698187828 8084-3704
466185539830179840 51.2847175598 -0.544946193695 3 9.93586540222 -1.78980255127 8083-3704
466195985190643712 51.169883728 -0.681497871876 3 10.8389291763 0.672399163246 8084-12703
466197084702271488 51.1633758545 -0.178965047002 2 9.71764278412 -1.25241708755 8084-1901
466197359580178432 50.8885803223 -0.438546478748 2 9.87847709656 -0.739744305611 8082-3704
466198733969713152 50.9707832336 -0.554045319557 1 9.51192188263 -0.0829239487648 8084-6102
466199833481340928 50.5013923645 -0.80709284544 3 9.92019367218 -0.481172859669 8083-12701
466200658115061760 51.0271377563 -1.05785858631 3 10.5203638077 -0.306622982025 8084-12705
466208629574363136 50.6829528809 -0.179577231407 1 10.1415205002 -0.288102686405 8084-12704
466210278841804800 50.3913803101 -0.178391963243 3 10.3252544403 -0.883006930351 8081-12703
466231994196453376 50.6366081238 -0.0011932682246 1 10.2526226044 0.238436549902 8084-3702
466291917580167168 52.6213798523 0.752045810223 1 10.2375068665 0.186102464795 8155-6102
466152555018217472 51.8783569336 -1.12772870064 1 9.78862190247 -0.322109639645 8084-9102
466159701843798016 51.6942443848 -0.648157715797 1 10.0190849304 -0.116563111544 8084-6101
466166024035657728 51.6094360352 -0.31168627739 2 9.77261543274 -1.43051671982 8083-6104
466178393541470208 51.2847175598 -0.544946193695 3 9.93503284454 -1.79056382179 8083-3704
466185540367050752 51.5812110901 -0.912661194801 1 9.41507053375 -0.493852436543 8084-3704
466189113779841024 50.9707832336 -0.554045319557 1 9.51181602478 -0.0761726498604 8084-6102
466192412314724352 51.1633758545 -0.178965047002 2 9.71748161316 -1.25263702869 8084-1901
466199559140304896 51.169883728 -0.681497871876 3 10.8389520645 0.672490954399 8084-12703
466200383774025728 50.3913803101 -0.178391963243 3 10.3251333237 -0.883109927177 8081-12703
466204506942629888 50.6829528809 -0.179577231407 1 10.1414718628 -0.284097671509 8084-12704
466205331576350720 51.0271377563 -1.05785858631 3 10.521191597 -0.305781424046 8084-12705
466209729622861824 50.5013923645 -0.80709284544 1 9.92018795013 -0.611524105072 8083-12701
466224298151929856 50.6366081238 -0.0011932682246 1 10.2558851242 0.248758867383 8084-3702
466296865919363072 52.6213798523 0.752045810223 1 10.2377958298 0.192229002714 8155-6102
467261136090195968 53.7801513672 -0.877192258835 2 9.32968616486 -0.383041411638 8155-12703
467264709502986240 53.7267494202 -0.788922131062 1 9.3496055603 -0.41285404563 8155-1902
467268008037869568 54.088973999 0.186850607395 1 9.5424747467 -0.278119891882 8156-3702
467277628764612608 54.0959701538 -0.882691085339 1 9.83362197876 0.108218558133 8155-3703
467284225834379264 53.1714553833 -1.18360900879 1 10.4667758942 0.210394099355 8155-12701
467285050468100096 53.4615402222 -1.00837397575 1 9.8796710968 -0.281463235617 8155-6104
467319410206468096 52.7789382935 -0.915958166122 1 9.0976228714 -0.620328247547 8155-3701
467252066276894720 54.0959701538 -0.882691085339 1 9.83362197876 0.160401046276 8155-3703
467259762858289152 53.7801513672 -0.877192258835 2 9.32944583893 -0.38330245018 8155-12703
467260587492009984 53.7267494202 -0.788922131062 1 9.34916400909 -0.46347913146 8155-1902
467281753090844672 53.4615402222 -1.00837397575 2 9.87983798981 -0.242315813899 8155-6104
467283402358286336 53.1714553833 -1.18360900879 2 10.4665689468 -0.194241911173 8155-12701
467319961119909888 52.7789382935 -0.915958166122 1 9.09687232971 -0.629380047321 8155-3701
467412869852456960 54.088973999 0.186850607395 1 9.54241275787 -0.279446154833 8156-3702
467415343753619456 54.5641670227 1.0017541647 2 10.0700130463 -1.09772157669 8156-1901
468376315775444992 56.3891487122 -1.04695737362 1 9.53960895538 -0.128623202443 8156-9102
468382912845211648 56.489654541 -0.0209143217653 1 9.51456546783 -0.057914506644 8156-3703
468391434060326912 56.1105613708 -0.303824454546 2 9.85949230194 -1.40682065487 8156-6104
468393907961489408 56.1316375732 0.00666634179652 2 11.2758083344 0.416363984346 8086-12704
468413149414975488 55.5520401001 -0.354326874018 1 9.63216018677 0.0218016505241 8156-12705
468438438182414336 54.8917961121 -0.51192510128 2 9.50818252563 -1.25788998604 8156-12702
468471698409154560 54.088973999 0.186850607395 1 9.54162216187 -0.182509928942 8156-3702
468475821577758720 54.7364120483 0.917872488499 1 9.46501636505 -0.0179486144334 8156-12703
468376042139052032 56.3891487122 -1.04695737362 1 9.54010391235 -0.17338873446 8156-9102
468381814575097856 56.489654541 -0.0209143217653 1 9.51456737518 -0.123124994338 8156-3703
468392534813468672 56.1105613708 -0.303824454546 2 9.86130523682 -1.40470671654 8156-6104
468396108226258944 56.1316375732 0.00666634179652 2 11.2763557434 0.416942805052 8086-12704
468414525046024192 55.5520401001 -0.354326874018 1 9.63243675232 0.00945949554443 8156-12705
468437339912300544 54.8917961121 -0.51192510128 2 9.50935459137 -1.25703060627 8156-12702
468464277947181056 54.5641670227 1.0017541647 2 10.0714693069 -1.09642863274 8156-1901
468472249406482432 54.088973999 0.186850607395 1 9.54231357574 -0.313232451677 8156-3702
468478571598342144 54.7364120483 0.917872488499 1 9.46556186676 -0.0148828579113 8156-12703
485355800072579072 113.553871155 39.0767936707 2 10.3963890076 0.0278537366539 8135-12703
485357174462113792 112.933547974 38.3365516663 2 10.4834709167 -0.0213666539639 8135-12702
485364871043508224 113.610076904 38.6289825439 1 10.2482833862 0.0802734568715 8135-9102
486410231841056768 116.519096375 39.886428833 1 9.59169483185 0.0503980666399 8713-12702
486456411329423360 114.096359253 39.4382820129 3 11.072136879 1.4518635273 8135-1902
486465757178259456 114.084709167 39.879989624 1 9.53456497192 -0.153538540006 8135-3702
486485548387559424 114.324546814 40.1432495117 1 9.34135723114 -0.772180318832 8566-3701
486487747410814976 114.47857666 40.1496276855 1 9.77183818817 -0.05271711573 8566-3703
486494069602674688 114.99823761 40.1476669312 1 9.82342243195 0.0516668483615 8566-12702
486513860811974656 115.669929504 40.9294166565 1 10.5141124725 0.575512886047 8566-12704
486530903242205184 116.098487854 40.3437728882 1 9.45870685577 -0.322302997112 8713-12703
486547121038714880 116.466018677 41.0756988525 1 9.71594524384 -0.561341583729 8566-12703
486557841277085696 116.507118225 40.8750762939 1 9.52943992615 -0.310748547316 8140-9101
487579837150554112 115.658432007 38.248588562 1 7.62670087814 -1.39075136185 8713-6101
487599353481947136 114.89730835 37.7515335083 1 9.56010341644 0.128280550241 8135-3704
487630964441245696 116.182113647 38.6349983215 1 10.8179340363 0.364459902048 8713-12701
487636736877291520 116.847770691 39.1959114075 2 10.1220207214 -1.78397262096 8713-1901
487663125156358144 117.061172485 39.0458145142 1 8.91227054596 -2.11218905449 8713-3701
488650761677334528 118.660232544 42.5441131592 3 10.0082674026 -0.727420270443 8143-1901
488652685822683136 117.903121948 41.4604682922 1 10.1240921021 -0.059284247458 8140-12702
488672477031983104 117.923721313 42.3035697937 1 9.7183713913 -0.372959166765 8140-12704
488680723369191424 117.766021729 41.9734687805 1 9.82994365692 0.116112232208 8140-1902
